iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,shadow_failed,shadow_fail_reasons,shadow_fail_samples,destroy,repair,action_id,action_display_name,operator_mode,action_registry_fingerprint,temperature,no_improve_counter,is_global_best_improvement,delta_cost_from_current,truck_cost,truck_transport_cost,truck_fixed_cost,tractor_distance_cost,trailer_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_tractors,used_trailers,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible,violations
21,1318.6259094946304,61325.21080578468,1123.11017858475,False,False,False,{},[],random_customer_removal,greedy_van_repair,1,Random + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,990.0473578023295,10,False,60006.58489629005,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,361.86515581177827,184.86515581177827,177.0,519.9643507564987,12.964350756498687,507.0,143.7208804230052,211.27446378488943,249.31443762497477,26.105811064461065,1,1,1,3,3,8,254.3355305234968,254.3355305234968,60000.0,61325.21080578468,221.49971697291537,170.79158974713107,0.0,5.0,True,False,"['customer 5 service_start 382.578 exceeds latest 360.000.', 'customer 17 service_start 431.043 exceeds latest 360.000.', 'customer 11 service_start 393.371 exceeds latest 360.000.', 'customer 13 service_start 439.453 exceeds latest 360.000.', 'customer 18 service_start 442.363 exceeds latest 360.000.', 'drone_id drone_1 launch_position 4 is before previous recovery_position 5.']"
22,1308.2169350045451,1308.2169350045451,1123.11017858475,True,True,False,{},[],related_customer_removal,greedy_van_repair,9,Related + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,989.5523341234284,11,False,-10.408974490085257,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,348.42864442961275,171.42864442961275,177.0,516.4069913585324,9.406991358532368,507.0,143.7208804230052,195.9184507767003,180.9036799717763,23.411826518378405,1,1,1,3,3,8,121.34155681133178,121.34155681133178,0.0,1308.2169350045451,139.14594218905833,48.01327140168479,0.0,0.0,True,True,[]
23,1308.2169350045451,1308.2169350045451,1123.11017858475,True,True,False,{},[],greedy_removal,cascade_repair,7,Greedy + Cascade,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,989.0575579563667,12,False,0.0,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,348.42864442961275,171.42864442961275,177.0,516.4069913585324,9.406991358532368,507.0,143.7208804230052,195.9184507767003,180.9036799717763,23.411826518378405,1,1,1,3,3,8,121.34155681133178,121.34155681133178,0.0,1308.2169350045451,139.14594218905833,48.01327140168479,0.0,0.0,True,True,[]
24,1308.2169350045451,71184.5620315616,1123.11017858475,False,False,False,{},[],greedy_removal,greedy_van_repair,5,Greedy + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,988.5630291773886,13,False,69876.34509655705,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,219.95653479956366,101.95653479956366,118.0,521.2241975456308,14.224197545630794,507.0,143.7208804230052,116.52175405664418,273.5422604928999,33.24557250592909,1,1,1,2,3,10,236.66029908393676,236.66029908393676,70000.0,71184.5620315616,274.371539172266,90.65719977468018,0.0,7.0,True,False,"['customer 8 service_start 360.580 exceeds latest 360.000.', 'customer 16 service_start 418.429 exceeds latest 360.000.', 'customer 14 service_start 437.997 exceeds latest 360.000.', 'customer 11 service_start 364.551 exceeds latest 360.000.', 'customer 20 service_start 370.331 exceeds latest 360.000.', 'customer 6 service_start 364.875 exceeds latest 360.000.', 'customer 10 service_start 389.759 exceeds latest 360.000.']"
25,1308.2169350045451,71184.85621075759,1123.11017858475,False,False,False,{},[],greedy_removal,greedy_van_repair,5,Greedy + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,988.0687476627999,14,False,69876.63927575304,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,219.95653479956366,101.95653479956366,118.0,521.5183767416173,14.518376741617326,507.0,143.7208804230052,116.52175405664418,279.19955272341014,34.00082101870221,1,1,1,2,3,10,211.4696700237044,211.4696700237044,70000.0,71184.85621075759,231.77463877323422,94.39965946384194,0.0,7.0,True,False,"['customer 8 service_start 360.580 exceeds latest 360.000.', 'customer 16 service_start 391.594 exceeds latest 360.000.', 'customer 14 service_start 411.162 exceeds latest 360.000.', 'customer 11 service_start 364.551 exceeds latest 360.000.', 'customer 20 service_start 370.331 exceeds latest 360.000.', 'customer 6 service_start 364.875 exceeds latest 360.000.', 'customer 10 service_start 389.759 exceeds latest 360.000.']"
26,1308.2169350045451,31209.90270661777,1123.11017858475,False,False,False,{},[],related_customer_removal,greedy_van_repair,9,Related + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,987.5747132889685,15,False,29901.685771613225,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,245.32751644898357,127.32751644898357,118.0,521.1938909523855,14.193890952385505,507.0,143.7208804230052,145.51716165598123,272.95944139202896,28.948914731658853,1,1,1,2,3,11,188.22816207958874,188.22816207958874,30000.0,31209.90270661777,223.4799566709922,66.84625733351481,0.0,2.0,True,False,"['customer 16 service_start 384.040 exceeds latest 360.000.', 'customer 20 service_start 362.777 exceeds latest 360.000.', 'drone_id drone_0 launch_position 2 is before previous recovery_position 3.']"
27,1309.3507990407675,1309.3507990407675,1123.11017858475,True,True,False,{},[],related_customer_removal,best_mode_repair,8,Related + Global,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,987.080925932324,16,False,1.1338640362223487,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,348.42864442961275,171.42864442961275,177.0,517.5408553947548,10.540855394754741,507.0,143.7208804230052,195.9184507767003,202.70875759143735,25.936959472834122,1,1,1,3,3,8,126.78466436398219,126.78466436398219,0.0,1309.3507990407675,127.78384461517439,67.7709076171889,0.0,0.0,True,True,[]
28,1317.7647944280202,1317.7647944280202,1123.11017858475,True,True,False,{},[],related_customer_removal,regret_repair,10,Related + Regret,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,986.587385469358,17,False,8.413995387252726,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,357.91407121498276,180.91407121498276,177.0,516.4694239966373,9.469423996637296,507.0,143.7208804230052,206.75893853140886,182.10430762764034,21.550510141962206,1,1,1,3,3,7,122.35094471919714,122.35094471919714,0.0,1317.7647944280202,99.23954497846816,89.47656512826268,0.0,0.0,True,True,[]
29,1317.7647944280202,1317.7647944280202,1123.11017858475,True,True,False,{},[],random_customer_removal,cascade_repair,3,Random + Cascade,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,986.0940917766234,18,False,0.0,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,357.91407121498276,180.91407121498276,177.0,516.4694239966373,9.469423996637296,507.0,143.7208804230052,206.75893853140886,182.10430762764034,21.550510141962206,1,1,1,3,3,7,122.35094471919714,122.35094471919714,0.0,1317.7647944280202,99.23954497846816,89.47656512826268,0.0,0.0,True,True,[]
30,1317.7647944280202,51337.47011004633,1123.11017858475,False,False,False,{},[],cascade_aware_removal,greedy_van_repair,13,Cascade + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,985.6010447307351,19,False,50019.70531561831,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,384.71740928869986,207.71740928869983,177.0,509.37140154122807,2.371401541228075,507.0,143.7208804230052,237.39132490137123,45.603875792847596,4.059149615496644,1,1,1,3,3,3,33.143651390338995,33.143651390338995,50000.0,51337.47011004633,18.920665376765044,32.20064782170127,0.0,0.0,True,False,"['unassigned customers remain: [6, 11, 17, 20, 23]', 'high-floor customer 6 must be served by drone.', 'high-floor customer 11 must be served by drone.', 'high-floor customer 20 must be served by drone.', 'high-floor customer 23 must be served by drone.']"
