"iteration","action_id","destroy","repair","accepted","current_cost","best_cost","candidate_feasible","operator_mode","action_registry_fingerprint"
"54","2","random_customer_removal","regret_repair","True","1072.2059859917667","1072.2059859917667","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"55","5","greedy_removal","greedy_van_repair","False","1072.2059859917667","1072.2059859917667","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"56","7","greedy_removal","cascade_repair","True","1072.2059859917667","1072.2059859917667","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"57","5","greedy_removal","greedy_van_repair","False","1072.2059859917667","1072.2059859917667","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"58","14","cascade_aware_removal","regret_repair","True","1240.9773734873722","1072.2059859917667","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"59","2","random_customer_removal","regret_repair","True","1239.2387151524904","1072.2059859917667","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"60","2","random_customer_removal","regret_repair","True","1238.845136428533","1072.2059859917667","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"61","14","cascade_aware_removal","regret_repair","True","1070.9374426979527","1070.9374426979527","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"62","6","greedy_removal","regret_repair","True","1070.9374426979527","1070.9374426979527","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"63","8","related_customer_removal","best_mode_repair","False","1070.9374426979527","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"64","10","related_customer_removal","regret_repair","False","1070.9374426979527","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"65","10","related_customer_removal","regret_repair","True","1241.050903170427","1070.9374426979527","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"66","11","related_customer_removal","cascade_repair","True","1241.050903170427","1070.9374426979527","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"67","0","random_customer_removal","best_mode_repair","False","1241.050903170427","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"68","7","greedy_removal","cascade_repair","True","1241.050903170427","1070.9374426979527","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"69","5","greedy_removal","greedy_van_repair","False","1241.050903170427","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"70","0","random_customer_removal","best_mode_repair","False","1241.050903170427","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"71","11","related_customer_removal","cascade_repair","False","1241.050903170427","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"72","14","cascade_aware_removal","regret_repair","True","1082.5531745121884","1070.9374426979527","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"73","3","random_customer_removal","cascade_repair","False","1082.5531745121884","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"74","8","related_customer_removal","best_mode_repair","False","1082.5531745121884","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"75","13","cascade_aware_removal","greedy_van_repair","False","1082.5531745121884","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"76","8","related_customer_removal","best_mode_repair","False","1082.5531745121884","1070.9374426979527","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"77","1","random_customer_removal","greedy_van_repair","False","1082.5531745121884","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"78","11","related_customer_removal","cascade_repair","True","1082.5531745121884","1070.9374426979527","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"79","3","random_customer_removal","cascade_repair","False","1082.5531745121884","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"80","12","cascade_aware_removal","best_mode_repair","False","1082.5531745121884","1070.9374426979527","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
